Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/15/2022,Florida Panthers,4,Buffalo Sabres,3,,11481,2:30,
10/15/2022,Nashville Predators,1,Dallas Stars,5,,18532,2:30,
10/15/2022,Calgary Flames,4,Edmonton Oilers,3,,18347,2:35,
10/15/2022,Los Angeles Kings,7,Minnesota Wild,6,,18421,2:44,
10/15/2022,Detroit Red Wings,5,New Jersey Devils,2,,16514,2:25,
10/15/2022,Anaheim Ducks,1,New York Islanders,7,,16487,2:32,
10/15/2022,Vancouver Canucks,2,Philadelphia Flyers,3,,14837,2:27,
10/15/2022,Tampa Bay Lightning,2,Pittsburgh Penguins,6,,18416,2:25,
10/15/2022,Vegas Golden Knights,5,Seattle Kraken,2,,17151,2:32,
10/15/2022,Chicago Blackhawks,5,San Jose Sharks,2,,15219,2:22,
10/15/2022,Columbus Blue Jackets,2,St. Louis Blues,5,,18096,2:19,
10/15/2022,Ottawa Senators,2,Toronto Maple Leafs,3,,18709,2:28,
10/15/2022,Montreal Canadiens,1,Washington Capitals,3,,18573,2:29,
10/17/2022,Florida Panthers,3,Boston Bruins,5,,17850,2:32,
10/17/2022,Winnipeg Jets,1,Dallas Stars,4,,17875,2:22,
10/17/2022,Los Angeles Kings,5,Detroit Red Wings,4,OT,15919,2:35,
10/17/2022,Colorado Avalanche,6,Minnesota Wild,3,,17437,2:36,
10/17/2022,Pittsburgh Penguins,2,Montreal Canadiens,3,OT,21105,2:32,
10/17/2022,Anaheim Ducks,4,New York Rangers,6,,18006,2:29,
10/17/2022,Carolina Hurricanes,5,Seattle Kraken,1,,17151,2:30,
10/17/2022,Arizona Coyotes,4,Toronto Maple Leafs,2,,18346,2:28,
10/17/2022,Vancouver Canucks,4,Washington Capitals,6,,18573,2:32,
10/18/2022,Vancouver Canucks,3,Columbus Blue Jackets,4,OT,14060,2:30,
10/18/2022,Vegas Golden Knights,2,Calgary Flames,3,,16944,2:34,
10/18/2022,Buffalo Sabres,4,Edmonton Oilers,2,,16121,2:35,
10/18/2022,Anaheim Ducks,2,New Jersey Devils,4,,10130,2:29,
10/18/2022,Los Angeles Kings,4,Nashville Predators,3,SO,17159,2:35,
10/18/2022,San Jose Sharks,2,New York Islanders,5,,13892,2:31,
10/18/2022,Boston Bruins,5,Ottawa Senators,7,,19811,2:41,
10/18/2022,Philadelphia Flyers,3,Tampa Bay Lightning,2,,19092,2:31,
10/19/2022,Winnipeg Jets,4,Colorado Avalanche,3,OT,18062,2:26,
10/19/2022,Philadelphia Flyers,3,Florida Panthers,4,,17421,2:38,
10/19/2022,St. Louis Blues,4,Seattle Kraken,3,OT,17151,2:27,
10/20/2022,Anaheim Ducks,1,Boston Bruins,2,SO,17850,2:48,
10/20/2022,Nashville Predators,3,Columbus Blue Jackets,5,,14691,2:37,
10/20/2022,Buffalo Sabres,6,Calgary Flames,3,,17080,2:28,
10/20/2022,Carolina Hurricanes,4,Edmonton Oilers,6,,16023,2:38,
10/20/2022,Vancouver Canucks,3,Minnesota Wild,4,OT,17323,2:29,
10/20/2022,Arizona Coyotes,2,Montreal Canadiens,6,,20691,2:28,
10/20/2022,New Jersey Devils,4,New York Islanders,1,,16046,2:22,
10/20/2022,San Jose Sharks,3,New York Rangers,2,OT,17083,2:27,
10/20/2022,Washington Capitals,2,Ottawa Senators,5,,14210,2:28,
10/20/2022,Los Angeles Kings,1,Pittsburgh Penguins,6,,17136,2:27,
10/20/2022,Dallas Stars,2,Toronto Maple Leafs,3,OT,18488,2:50,
10/20/2022,Winnipeg Jets,2,Vegas Golden Knights,5,,17777,2:19,
10/21/2022,Detroit Red Wings,3,Chicago Blackhawks,4,OT,18753,2:31,
10/21/2022,Seattle Kraken,3,Colorado Avalanche,2,,18131,2:26,
10/21/2022,Tampa Bay Lightning,3,Florida Panthers,2,OT,17531,2:44,
10/22/2022,Minnesota Wild,3,Boston Bruins,4,OT,17850,2:42,
10/22/2022,Pittsburgh Penguins,6,Columbus Blue Jackets,3,,18051,2:35,
10/22/2022,Carolina Hurricanes,2,Calgary Flames,3,OT,17210,2:27,
10/22/2022,St. Louis Blues,2,Edmonton Oilers,0,,17102,2:12,
10/22/2022,Dallas Stars,5,Montreal Canadiens,2,,21105,2:26,
10/22/2022,San Jose Sharks,1,New Jersey Devils,2,,11037,2:31,
10/22/2022,Philadelphia Flyers,3,Nashville Predators,1,,17470,2:34,
10/22/2022,Arizona Coyotes,2,Ottawa Senators,6,,15107,2:29,
10/22/2022,New York Islanders,3,Tampa Bay Lightning,5,,19092,2:29,
10/22/2022,Buffalo Sabres,5,Vancouver Canucks,1,,18809,2:26,
10/22/2022,Colorado Avalanche,3,Vegas Golden Knights,2,,18207,2:29,
10/22/2022,Toronto Maple Leafs,4,Winnipeg Jets,1,,15325,2:23,
10/22/2022,Los Angeles Kings,3,Washington Capitals,4,,18573,2:26,
10/23/2022,Seattle Kraken,4,Chicago Blackhawks,5,,14892,2:26,
10/23/2022,Anaheim Ducks,1,Detroit Red Wings,5,,17932,2:33,
10/23/2022,New York Islanders,2,Florida Panthers,3,,16342,2:26,
10/23/2022,Columbus Blue Jackets,5,New York Rangers,1,,18006,2:23,
10/23/2022,San Jose Sharks,3,Philadelphia Flyers,0,,14512,2:29,
10/24/2022,Pittsburgh Penguins,3,Edmonton Oilers,6,,17392,2:27,
10/24/2022,Washington Capitals,6,New Jersey Devils,3,,11405,2:31,
10/24/2022,Dallas Stars,2,Ottawa Senators,4,,12088,2:29,
10/24/2022,Carolina Hurricanes,3,Vancouver Canucks,2,,18775,2:34,
10/24/2022,Toronto Maple Leafs,1,Vegas Golden Knights,3,,17989,2:35,
10/24/2022,St. Louis Blues,0,Winnipeg Jets,4,,13936,2:18,
10/25/2022,Dallas Stars,1,Boston Bruins,3,,17850,2:27,
10/25/2022,Arizona Coyotes,6,Columbus Blue Jackets,3,,14498,2:33,
10/25/2022,Pittsburgh Penguins,1,Calgary Flames,4,,17628,2:28,
10/25/2022,Florida Panthers,2,Chicago Blackhawks,4,,12859,2:28,
10/25/2022,New Jersey Devils,6,Detroit Red Wings,2,,16546,2:27,
10/25/2022,Tampa Bay Lightning,2,Los Angeles Kings,4,,16480,2:26,
10/25/2022,Minnesota Wild,3,Montreal Canadiens,1,,20867,2:24,
10/25/2022,Colorado Avalanche,3,New York Rangers,2,SO,18006,2:47,
10/25/2022,Buffalo Sabres,1,Seattle Kraken,5,,17151,2:21,
10/25/2022,Vegas Golden Knights,4,San Jose Sharks,2,,12003,2:26,
10/26/2022,Tampa Bay Lightning,4,Anaheim Ducks,2,,14889,2:31,
10/26/2022,New York Rangers,0,New York Islanders,3,,17255,2:25,
10/26/2022,Edmonton Oilers,3,St. Louis Blues,1,,18096,2:24,
10/27/2022,Detroit Red Wings,1,Boston Bruins,5,,17850,2:31,
10/27/2022,Montreal Canadiens,3,Buffalo Sabres,2,,12735,2:21,
10/27/2022,Edmonton Oilers,6,Chicago Blackhawks,5,,13685,2:38,
10/27/2022,Washington Capitals,0,Dallas Stars,2,,18235,2:25,
10/27/2022,Winnipeg Jets,6,Los Angeles Kings,4,,15716,2:25,
10/27/2022,St. Louis Blues,2,Nashville Predators,6,,17159,2:19,
10/27/2022,Minnesota Wild,4,Ottawa Senators,2,,13870,2:35,
10/27/2022,Florida Panthers,3,Philadelphia Flyers,4,,14871,2:37,
10/27/2022,Vancouver Canucks,5,Seattle Kraken,4,,17151,2:31,
10/27/2022,Toronto Maple Leafs,3,San Jose Sharks,4,OT,12507,2:21,
10/28/2022,Winnipeg Jets,3,Arizona Coyotes,2,OT,4600,2:27,
10/28/2022,New York Islanders,6,Carolina Hurricanes,2,,18680,2:29,
10/28/2022,Boston Bruins,4,Columbus Blue Jackets,0,,16162,2:19,
10/28/2022,Colorado Avalanche,0,New Jersey Devils,1,,12502,2:21,
10/28/2022,Pittsburgh Penguins,1,Vancouver Canucks,5,,18528,2:26,
10/28/2022,Anaheim Ducks,0,Vegas Golden Knights,4,,18036,2:32,
10/29/2022,Chicago Blackhawks,3,Buffalo Sabres,4,OT,14547,2:31,
10/29/2022,Edmonton Oilers,3,Calgary Flames,2,,19289,2:30,
10/29/2022,New York Rangers,6,Dallas Stars,3,,18532,2:28,
10/29/2022,Minnesota Wild,1,Detroit Red Wings,2,,17364,2:15,
10/29/2022,Ottawa Senators,3,Florida Panthers,5,,15577,2:38,
10/29/2022,Toronto Maple Leafs,2,Los Angeles Kings,4,,17530,2:28,
10/29/2022,Washington Capitals,3,Nashville Predators,0,,17159,2:32,
10/29/2022,Colorado Avalanche,4,New York Islanders,5,,17255,2:30,
10/29/2022,Carolina Hurricanes,4,Philadelphia Flyers,3,OT,13335,2:40,
10/29/2022,Pittsburgh Penguins,1,Seattle Kraken,3,,17151,2:33,
10/29/2022,Tampa Bay Lightning,4,San Jose Sharks,3,,15122,2:17,
10/29/2022,Montreal Canadiens,7,St. Louis Blues,4,,18096,2:27,
10/30/2022,Toronto Maple Leafs,3,Anaheim Ducks,4,OT,16084,2:35,
10/30/2022,New York Rangers,3,Arizona Coyotes,2,,4600,2:24,
10/30/2022,Minnesota Wild,4,Chicago Blackhawks,3,SO,14149,2:43,
10/30/2022,Columbus Blue Jackets,1,New Jersey Devils,7,,11547,2:28,
10/30/2022,Winnipeg Jets,1,Vegas Golden Knights,2,OT,17824,2:31,
10/31/2022,Detroit Red Wings,3,Buffalo Sabres,8,,9673,2:27,
10/31/2022,Washington Capitals,2,Carolina Hurricanes,3,SO,16211,2:41,
10/31/2022,Los Angeles Kings,5,St. Louis Blues,1,,17220,2:23,
11/1/2022,Florida Panthers,1,Arizona Coyotes,3,,4600,2:30,
11/1/2022,Seattle Kraken,5,Calgary Flames,4,,16803,2:33,
11/1/2022,New York Islanders,3,Chicago Blackhawks,1,,12523,2:25,
11/1/2022,Los Angeles Kings,2,Dallas Stars,5,,18374,2:28,
11/1/2022,Nashville Predators,4,Edmonton Oilers,7,,16812,2:37,
11/1/2022,Montreal Canadiens,1,Minnesota Wild,4,,16385,2:26,
11/1/2022,Philadelphia Flyers,0,New York Rangers,1,OT,17206,2:29,
11/1/2022,Boston Bruins,6,Pittsburgh Penguins,5,OT,17629,2:43,
11/1/2022,Anaheim Ducks,6,San Jose Sharks,5,SO,10058,2:42,
11/1/2022,Ottawa Senators,3,Tampa Bay Lightning,4,,19092,2:33,
11/1/2022,New Jersey Devils,5,Vancouver Canucks,2,,18548,2:24,
11/1/2022,Vegas Golden Knights,3,Washington Capitals,2,OT,18573,2:34,
11/2/2022,Pittsburgh Penguins,3,Buffalo Sabres,6,,12201,2:28,
11/2/2022,Philadelphia Flyers,2,Toronto Maple Leafs,5,,18437,2:36,
11/3/2022,Dallas Stars,7,Arizona Coyotes,2,,4600,2:25,
11/3/2022,Nashville Predators,4,Calgary Flames,1,,16984,2:31,
11/3/2022,Los Angeles Kings,1,Chicago Blackhawks,2,OT,16658,2:30,
11/3/2022,Washington Capitals,1,Detroit Red Wings,3,,18527,2:25,
11/3/2022,New Jersey Devils,4,Edmonton Oilers,3,,17021,2:22,
11/3/2022,Seattle Kraken,4,Minnesota Wild,0,,17221,2:19,
11/3/2022,Boston Bruins,5,New York Rangers,2,,18006,2:21,
11/3/2022,Vegas Golden Knights,5,Ottawa Senators,4,,16043,2:34,
11/3/2022,Florida Panthers,4,San Jose Sharks,3,SO,10182,2:42,
11/3/2022,New York Islanders,5,St. Louis Blues,2,,18096,2:33,
11/3/2022,Carolina Hurricanes,4,Tampa Bay Lightning,3,SO,19092,3:01,
11/3/2022,Anaheim Ducks,5,Vancouver Canucks,8,,18760,2:34,
11/3/2022,Montreal Canadiens,2,Winnipeg Jets,3,OT,13729,2:27,
11/4/2022,Buffalo Sabres,3,Carolina Hurricanes,5,,18727,2:32,
11/4/2022,Columbus Blue Jackets,3,Colorado Avalanche,6,,12882,2:40,at Nokia Arena (Tampere FI)
11/5/2022,Colorado Avalanche,5,Columbus Blue Jackets,1,,12897,2:27,at Nokia Arena (Tampere FI)
11/5/2022,New Jersey Devils,4,Calgary Flames,3,OT,17386,2:38,
11/5/2022,New York Islanders,0,Detroit Red Wings,3,,19515,2:22,
11/5/2022,Dallas Stars,6,Edmonton Oilers,2,,17067,2:25,
11/5/2022,Florida Panthers,4,Los Angeles Kings,5,,16161,2:44,
11/5/2022,Vegas Golden Knights,6,Montreal Canadiens,4,,21105,2:27,
11/5/2022,Philadelphia Flyers,2,Ottawa Senators,1,,16722,2:29,
11/5/2022,Seattle Kraken,3,Pittsburgh Penguins,2,,18302,2:10,
11/5/2022,Anaheim Ducks,5,San Jose Sharks,4,SO,17562,2:47,
11/5/2022,Buffalo Sabres,3,Tampa Bay Lightning,5,,19092,2:35,
11/5/2022,Boston Bruins,1,Toronto Maple Leafs,2,,18926,2:14,
11/5/2022,Nashville Predators,4,Vancouver Canucks,3,SO,18855,2:46,
11/5/2022,Chicago Blackhawks,0,Winnipeg Jets,4,,13210,2:24,
11/5/2022,Arizona Coyotes,3,Washington Capitals,2,,18573,2:30,
11/6/2022,Florida Panthers,5,Anaheim Ducks,3,,15174,2:30,
11/6/2022,Toronto Maple Leafs,3,Carolina Hurricanes,1,,18463,2:23,
11/6/2022,Detroit Red Wings,3,New York Rangers,2,OT,18006,2:33,
11/7/2022,St. Louis Blues,1,Boston Bruins,3,,17850,2:25,
11/7/2022,Calgary Flames,3,New York Islanders,4,OT,15722,2:33,
11/7/2022,Edmonton Oilers,4,Washington Capitals,5,,18573,2:34,
11/8/2022,Arizona Coyotes,4,Buffalo Sabres,1,,10296,2:47,
11/8/2022,Montreal Canadiens,3,Detroit Red Wings,2,SO,17033,2:38,
11/8/2022,Minnesota Wild,0,Los Angeles Kings,1,,13558,2:23,
11/8/2022,Calgary Flames,2,New Jersey Devils,3,,13096,2:32,
11/8/2022,New York Islanders,4,New York Rangers,3,,18006,2:31,
11/8/2022,Vancouver Canucks,6,Ottawa Senators,4,,13351,2:22,
11/8/2022,St. Louis Blues,1,Philadelphia Flyers,5,,15228,2:25,
11/8/2022,Nashville Predators,1,Seattle Kraken,5,,17151,2:18,
11/8/2022,Edmonton Oilers,3,Tampa Bay Lightning,2,,19092,2:40,
11/8/2022,Vegas Golden Knights,4,Toronto Maple Leafs,3,OT,18459,2:22,
11/8/2022,Dallas Stars,1,Winnipeg Jets,5,,13847,2:19,
11/9/2022,Minnesota Wild,4,Anaheim Ducks,1,,14803,2:30,
11/9/2022,Carolina Hurricanes,0,Florida Panthers,3,,13225,2:25,
11/9/2022,Vancouver Canucks,2,Montreal Canadiens,5,,21105,2:24,
11/9/2022,Pittsburgh Penguins,4,Washington Capitals,1,,18573,2:25,
11/10/2022,Calgary Flames,1,Boston Bruins,3,,17850,2:28,
11/10/2022,Vegas Golden Knights,7,Buffalo Sabres,4,,15757,2:37,
11/10/2022,Edmonton Oilers,2,Carolina Hurricanes,7,,18118,2:22,
11/10/2022,Philadelphia Flyers,2,Columbus Blue Jackets,5,,15490,2:37,
11/10/2022,Nashville Predators,3,Colorado Avalanche,5,,18134,2:34,
11/10/2022,New York Rangers,8,Detroit Red Wings,2,,18869,2:20,
11/10/2022,Chicago Blackhawks,1,Los Angeles Kings,2,OT,16443,2:33,
11/10/2022,Ottawa Senators,3,New Jersey Devils,4,OT,13806,2:35,
11/10/2022,Arizona Coyotes,2,New York Islanders,0,,17255,2:28,
11/10/2022,San Jose Sharks,3,St. Louis Blues,5,,18096,2:24,
11/11/2022,San Jose Sharks,5,Dallas Stars,4,,18532,2:31,
11/11/2022,Minnesota Wild,1,Seattle Kraken,0,,17151,2:22,
11/11/2022,Pittsburgh Penguins,4,Toronto Maple Leafs,2,,19229,2:19,
11/11/2022,Tampa Bay Lightning,1,Washington Capitals,5,,18573,2:29,
11/12/2022,Chicago Blackhawks,3,Anaheim Ducks,2,,15184,2:32,
11/12/2022,Boston Bruins,3,Buffalo Sabres,1,,19070,2:28,
11/12/2022,Winnipeg Jets,2,Calgary Flames,3,,18501,2:33,
11/12/2022,Carolina Hurricanes,1,Colorado Avalanche,4,,18127,2:21,
11/12/2022,Edmonton Oilers,4,Florida Panthers,2,,16579,2:24,
11/12/2022,Detroit Red Wings,3,Los Angeles Kings,4,,18230,2:26,
11/12/2022,Pittsburgh Penguins,4,Montreal Canadiens,5,OT,21105,2:35,
11/12/2022,Arizona Coyotes,2,New Jersey Devils,4,,16514,2:30,
11/12/2022,New York Rangers,1,Nashville Predators,2,,17169,2:25,
11/12/2022,Columbus Blue Jackets,3,New York Islanders,4,OT,17255,2:26,
11/12/2022,Ottawa Senators,4,Philadelphia Flyers,1,,16912,2:28,
11/12/2022,Vancouver Canucks,2,Toronto Maple Leafs,3,,19497,2:18,
11/12/2022,St. Louis Blues,3,Vegas Golden Knights,2,,18343,2:28,
11/13/2022,Vancouver Canucks,2,Boston Bruins,5,,17850,2:30,
11/13/2022,San Jose Sharks,3,Minnesota Wild,2,SO,17105,2:34,
11/13/2022,Arizona Coyotes,1,New York Rangers,4,,18006,2:25,
11/13/2022,Dallas Stars,5,Philadelphia Flyers,1,,16898,2:24,
11/13/2022,Winnipeg Jets,3,Seattle Kraken,2,OT,17151,2:28,
11/13/2022,Washington Capitals,3,Tampa Bay Lightning,6,,19092,2:41,
11/14/2022,Los Angeles Kings,5,Calgary Flames,6,,17308,2:32,
11/14/2022,Carolina Hurricanes,3,Chicago Blackhawks,0,,15676,2:23,
11/14/2022,St. Louis Blues,3,Colorado Avalanche,2,,18104,2:30,
11/14/2022,New York Islanders,4,Ottawa Senators,2,,13408,2:28,
11/15/2022,Detroit Red Wings,2,Anaheim Ducks,3,OT,15198,2:34,
11/15/2022,Vancouver Canucks,5,Buffalo Sabres,4,,11130,2:27,
11/15/2022,Philadelphia Flyers,4,Columbus Blue Jackets,5,OT,15713,2:34,
11/15/2022,Washington Capitals,2,Florida Panthers,5,,13813,2:29,
11/15/2022,New Jersey Devils,5,Montreal Canadiens,1,,20753,2:32,
11/15/2022,Minnesota Wild,1,Nashville Predators,2,,17159,2:32,
11/15/2022,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,17035,2:21,
11/15/2022,Dallas Stars,4,Tampa Bay Lightning,5,OT,19092,2:49,
11/15/2022,San Jose Sharks,5,Vegas Golden Knights,2,,17899,2:25,
11/16/2022,St. Louis Blues,5,Chicago Blackhawks,2,,16284,2:18,
11/16/2022,Los Angeles Kings,3,Edmonton Oilers,1,,16943,2:28,
11/16/2022,Buffalo Sabres,1,Ottawa Senators,4,,13558,2:32,
11/17/2022,Philadelphia Flyers,1,Boston Bruins,4,,17850,2:30,
11/17/2022,Colorado Avalanche,3,Carolina Hurricanes,2,OT,18680,2:33,
11/17/2022,Montreal Canadiens,4,Columbus Blue Jackets,6,,14914,2:36,
11/17/2022,Dallas Stars,6,Florida Panthers,4,,14428,2:38,
11/17/2022,Pittsburgh Penguins,6,Minnesota Wild,4,,18224,2:28,
11/17/2022,New York Islanders,4,Nashville Predators,5,,17159,2:25,
11/17/2022,New York Rangers,2,Seattle Kraken,3,OT,17151,2:28,
11/17/2022,Detroit Red Wings,7,San Jose Sharks,4,,14134,2:19,
11/17/2022,Washington Capitals,4,St. Louis Blues,5,SO,18096,2:50,
11/17/2022,Calgary Flames,1,Tampa Bay Lightning,4,,19092,2:38,
11/17/2022,New Jersey Devils,3,Toronto Maple Leafs,2,OT,18189,2:22,
11/17/2022,Arizona Coyotes,1,Vegas Golden Knights,4,,17708,2:27,
11/17/2022,Anaheim Ducks,2,Winnipeg Jets,3,,14278,2:24,
11/18/2022,Los Angeles Kings,1,Vancouver Canucks,4,,18841,2:24,
11/19/2022,Chicago Blackhawks,1,Boston Bruins,6,,17850,2:21,
11/19/2022,Detroit Red Wings,6,Columbus Blue Jackets,1,,18693,2:25,
11/19/2022,New York Islanders,2,Dallas Stars,5,,18532,2:25,
11/19/2022,Vegas Golden Knights,3,Edmonton Oilers,4,OT,18347,2:20,
11/19/2022,Calgary Flames,5,Florida Panthers,4,SO,15842,2:48,
11/19/2022,Carolina Hurricanes,1,Minnesota Wild,2,OT,18278,2:31,
11/19/2022,Philadelphia Flyers,4,Montreal Canadiens,5,SO,21105,2:41,
11/19/2022,Tampa Bay Lightning,3,Nashville Predators,2,OT,17444,2:32,
11/19/2022,New Jersey Devils,5,Ottawa Senators,1,,18881,2:33,
11/19/2022,Los Angeles Kings,2,Seattle Kraken,3,OT,17151,2:21,
11/19/2022,New York Rangers,2,San Jose Sharks,1,,17562,2:28,
11/19/2022,Anaheim Ducks,2,St. Louis Blues,6,,18096,2:27,
11/19/2022,Buffalo Sabres,2,Toronto Maple Leafs,5,,18645,2:26,
11/19/2022,Pittsburgh Penguins,3,Winnipeg Jets,0,,15325,2:26,
11/19/2022,Colorado Avalanche,4,Washington Capitals,0,,18573,2:26,
11/20/2022,Florida Panthers,3,Columbus Blue Jackets,5,,15643,2:30,
11/20/2022,Pittsburgh Penguins,5,Chicago Blackhawks,3,,21182,2:30,
11/21/2022,Colorado Avalanche,3,Dallas Stars,2,SO,18532,2:44,
11/21/2022,Edmonton Oilers,2,New Jersey Devils,5,,16514,2:23,
11/21/2022,Arizona Coyotes,3,Nashville Predators,4,SO,17159,2:46,
11/21/2022,Calgary Flames,5,Philadelphia Flyers,2,,17896,2:21,
11/21/2022,Ottawa Senators,1,San Jose Sharks,5,,11295,2:26,
11/21/2022,Anaheim Ducks,1,St. Louis Blues,3,,18096,2:21,
11/21/2022,Boston Bruins,5,Tampa Bay Lightning,3,,19092,2:29,
11/21/2022,New York Islanders,3,Toronto Maple Leafs,2,OT,18494,2:32,
11/21/2022,Vegas Golden Knights,5,Vancouver Canucks,4,,18558,2:37,
11/21/2022,Carolina Hurricanes,3,Winnipeg Jets,4,OT,13346,2:19,
11/22/2022,New York Rangers,5,Los Angeles Kings,3,,18230,2:27,
11/22/2022,Buffalo Sabres,7,Montreal Canadiens,2,,20984,2:26,
11/23/2022,New York Rangers,2,Anaheim Ducks,3,,13759,2:21,
11/23/2022,St. Louis Blues,2,Buffalo Sabres,6,,17302,2:20,
11/23/2022,Arizona Coyotes,4,Carolina Hurricanes,0,,18775,2:27,
11/23/2022,Montreal Canadiens,3,Columbus Blue Jackets,1,,14197,2:32,
11/23/2022,Vancouver Canucks,4,Colorado Avalanche,3,,18132,2:38,
11/23/2022,Chicago Blackhawks,4,Dallas Stars,6,,18532,2:29,
11/23/2022,Nashville Predators,0,Detroit Red Wings,3,,19515,2:19,
11/23/2022,Boston Bruins,2,Florida Panthers,5,,17511,2:37,
11/23/2022,Winnipeg Jets,1,Minnesota Wild,6,,17450,2:33,
11/23/2022,Toronto Maple Leafs,2,New Jersey Devils,1,,16514,2:42,
11/23/2022,Edmonton Oilers,0,New York Islanders,3,,17255,2:34,
11/23/2022,Calgary Flames,1,Pittsburgh Penguins,2,SO,18149,2:37,
11/23/2022,San Jose Sharks,5,Seattle Kraken,8,,17151,2:25,
11/23/2022,Ottawa Senators,1,Vegas Golden Knights,4,,17955,2:34,
11/23/2022,Philadelphia Flyers,2,Washington Capitals,3,OT,18573,2:33,
11/25/2022,Ottawa Senators,5,Anaheim Ducks,1,,14278,2:36,
11/25/2022,Carolina Hurricanes,2,Boston Bruins,3,OT,17850,2:48,
11/25/2022,New Jersey Devils,3,Buffalo Sabres,1,,16727,2:32,
11/25/2022,New York Islanders,3,Columbus Blue Jackets,2,,17286,2:29,
11/25/2022,Montreal Canadiens,3,Chicago Blackhawks,2,SO,16159,2:32,
11/25/2022,Winnipeg Jets,5,Dallas Stars,4,OT,18532,2:49,
11/25/2022,Arizona Coyotes,3,Detroit Red Wings,4,SO,19515,2:41,
11/25/2022,Toronto Maple Leafs,4,Minnesota Wild,3,,18997,2:28,
11/25/2022,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19309,2:22,
11/25/2022,Los Angeles Kings,5,San Jose Sharks,2,,17562,2:29,
11/25/2022,St. Louis Blues,2,Tampa Bay Lightning,5,,19092,2:22,
11/25/2022,Seattle Kraken,4,Vegas Golden Knights,2,,18119,2:22,
11/25/2022,Calgary Flames,0,Washington Capitals,3,,18573,2:25,
11/26/2022,Calgary Flames,2,Carolina Hurricanes,3,,18845,2:29,
11/26/2022,Dallas Stars,1,Colorado Avalanche,4,,18129,2:40,
11/26/2022,St. Louis Blues,5,Florida Panthers,4,OT,15649,2:26,
11/26/2022,Washington Capitals,1,New Jersey Devils,5,,16514,2:27,
11/26/2022,Philadelphia Flyers,2,New York Islanders,5,,17255,2:18,
11/26/2022,Edmonton Oilers,4,New York Rangers,3,,18006,2:34,
11/26/2022,Toronto Maple Leafs,4,Pittsburgh Penguins,1,,18166,2:25,
11/26/2022,Vancouver Canucks,5,Vegas Golden Knights,1,,18004,2:30,
11/27/2022,Seattle Kraken,5,Anaheim Ducks,4,,14324,2:25,
11/27/2022,Winnipeg Jets,7,Chicago Blackhawks,2,,17611,2:23,
11/27/2022,Ottawa Senators,3,Los Angeles Kings,2,OT,15136,2:37,
11/27/2022,Arizona Coyotes,3,Minnesota Wild,4,,17745,2:31,
11/27/2022,Vancouver Canucks,4,San Jose Sharks,3,OT,11307,2:21,
11/28/2022,Tampa Bay Lightning,6,Buffalo Sabres,5,OT,11766,2:37,
11/28/2022,Vegas Golden Knights,3,Columbus Blue Jackets,2,SO,13771,2:44,
11/28/2022,Toronto Maple Leafs,4,Detroit Red Wings,2,,18277,2:24,
11/28/2022,Florida Panthers,3,Edmonton Oilers,4,OT,17775,2:36,
11/28/2022,New Jersey Devils,5,New York Rangers,3,,17928,2:24,
11/28/2022,Dallas Stars,4,St. Louis Blues,1,,18096,2:13,
